breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-yy-ss', 'RR-yy-ss']",['RR-yy-ss'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-ss', 'rr-YY-Ss']","['Rr-Yy-Ss', 'Rr-Yy-ss']","['Red (seed)', 'Yellow (seed)']","['Orange', 'Orange']","['50%', '50%']"
"['RR-yy-ss', 'rr-yy-Ss']","['Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'White (seed)']","['Pink', 'Pink']","['50%', '50%']"
"['rr-YY-Ss', 'rr-YY-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss']","['Yellow (seed)', 'Yellow (seed)']","['Yellow', 'Yellow (seed)', 'Yellow']","['33%', '33%', '33%']"
"['rr-YY-Ss', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'White (seed)']","['White', 'Yellow', 'Yellow']","['33%', '33%', '33%']"
"['rr-yy-Ss', 'rr-yy-Ss']","['rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'White']","['33%', '33%', '33%']"
"['RR-yy-ss', 'RR-yy-ss']",['RR-yy-ss'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-ss', 'Rr-Yy-Ss']","['RR-Yy-Ss', 'RR-Yy-ss', 'RR-yy-Ss', 'RR-yy-ss', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'Orange']","['Orange', 'Orange', 'Red', 'Red (seed)', 'Orange', 'Orange', 'Pink', 'Pink']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-ss', 'Rr-Yy-ss']","['RR-Yy-ss', 'RR-yy-ss', 'Rr-Yy-ss', 'Rr-yy-ss']","['Red (seed)', 'Orange']","['Orange', 'Red (seed)', 'Orange', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-ss', 'Rr-yy-Ss']","['RR-yy-Ss', 'RR-yy-ss', 'Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'Pink']","['Red', 'Red (seed)', 'Pink', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-ss', 'Rr-yy-ss']","['RR-yy-ss', 'Rr-yy-ss']","['Red (seed)', 'Pink']","['Red (seed)', 'Pink']","['50%', '50%']"
"['RR-yy-ss', 'rr-YY-SS']",['Rr-Yy-Ss'],"['Red (seed)', 'Yellow']",['Orange'],['100%']
"['RR-yy-ss', 'rr-YY-Ss']","['Rr-Yy-Ss', 'Rr-Yy-ss']","['Red (seed)', 'Yellow (seed)']","['Orange', 'Orange']","['50%', '50%']"
"['RR-yy-ss', 'rr-YY-ss']",['Rr-Yy-ss'],"['Red (seed)', 'Yellow']",['Orange'],['100%']
"['RR-yy-ss', 'rr-Yy-SS']","['Rr-Yy-Ss', 'Rr-yy-Ss']","['Red (seed)', 'White']","['Orange', 'Pink']","['50%', '50%']"
"['RR-yy-ss', 'rr-Yy-Ss']","['Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'Yellow']","['Orange', 'Orange', 'Pink', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-ss', 'rr-Yy-ss']","['Rr-Yy-ss', 'Rr-yy-ss']","['Red (seed)', 'Yellow']","['Orange', 'Pink']","['50%', '50%']"
"['RR-yy-ss', 'rr-yy-SS']",['Rr-yy-Ss'],"['Red (seed)', 'White']",['Pink'],['100%']
"['RR-yy-ss', 'rr-yy-Ss']","['Rr-yy-Ss', 'Rr-yy-ss']","['Red (seed)', 'White (seed)']","['Pink', 'Pink']","['50%', '50%']"
"['RR-yy-ss', 'rr-yy-ss']",['Rr-yy-ss'],"['Red (seed)', 'White']",['Pink'],['100%']
"['Rr-Yy-Ss', 'Rr-Yy-Ss']","['RR-YY-SS', 'RR-YY-Ss', 'RR-YY-ss', 'RR-Yy-SS', 'RR-Yy-Ss', 'RR-Yy-ss', 'RR-yy-SS', 'RR-yy-Ss', 'RR-yy-ss', 'Rr-YY-SS', 'Rr-YY-Ss', 'Rr-YY-ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-SS', 'Rr-yy-Ss', 'Rr-yy-ss', 'rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['Orange', 'Orange']","['Red', 'Black', 'Black', 'Red', 'Orange', 'Orange', 'Red', 'Red', 'Red (seed)', 'Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Pink', 'Pink', 'Pink', 'Yellow', 'Yellow (seed)', 'Yellow', 'White', 'Yellow', 'Yellow', 'White', 'White (seed)', 'White']","['3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%', '3%']"
"['Rr-Yy-Ss', 'Rr-Yy-ss']","['RR-YY-Ss', 'RR-YY-ss', 'RR-Yy-Ss', 'RR-Yy-ss', 'RR-yy-Ss', 'RR-yy-ss', 'Rr-YY-Ss', 'Rr-YY-ss', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-Ss', 'Rr-yy-ss', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-Ss', 'rr-yy-ss']","['Orange', 'Orange']","['Black', 'Black', 'Orange', 'Orange', 'Red', 'Red (seed)', 'Orange', 'Orange', 'Orange', 'Orange', 'Pink', 'Pink', 'Yellow (seed)', 'Yellow', 'Yellow', 'Yellow', 'White (seed)', 'White']","['5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%']"
"['Rr-Yy-Ss', 'Rr-yy-Ss']","['RR-Yy-SS', 'RR-Yy-Ss', 'RR-Yy-ss', 'RR-yy-SS', 'RR-yy-Ss', 'RR-yy-ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-SS', 'Rr-yy-Ss', 'Rr-yy-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['Orange', 'Pink']","['Red', 'Orange', 'Orange', 'Red', 'Red', 'Red (seed)', 'Pink', 'Orange', 'Orange', 'Pink', 'Pink', 'Pink', 'White', 'Yellow', 'Yellow', 'White', 'White (seed)', 'White']","['5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%']"
"['Rr-Yy-Ss', 'Rr-yy-ss']","['RR-Yy-Ss', 'RR-Yy-ss', 'RR-yy-Ss', 'RR-yy-ss', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-Ss', 'Rr-yy-ss', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-Ss', 'rr-yy-ss']","['Orange', 'Pink']","['Orange', 'Orange', 'Red', 'Red (seed)', 'Orange', 'Orange', 'Pink', 'Pink', 'Yellow', 'Yellow', 'White (seed)', 'White']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['Rr-Yy-Ss', 'rr-YY-SS']","['Rr-YY-SS', 'Rr-YY-Ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'rr-YY-SS', 'rr-YY-Ss', 'rr-Yy-SS', 'rr-Yy-Ss']","['Orange', 'Yellow']","['Orange', 'Orange', 'Pink', 'Orange', 'Yellow', 'Yellow (seed)', 'White', 'Yellow']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['Rr-Yy-Ss', 'rr-YY-Ss']","['Rr-YY-SS', 'Rr-YY-Ss', 'Rr-YY-ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss']","['Orange', 'Yellow (seed)']","['Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Yellow', 'Yellow (seed)', 'Yellow', 'White', 'Yellow', 'Yellow']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['Rr-Yy-Ss', 'rr-YY-ss']","['Rr-YY-Ss', 'Rr-YY-ss', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-Ss', 'rr-Yy-ss']","['Orange', 'Yellow']","['Orange', 'Orange', 'Orange', 'Orange', 'Yellow (seed)', 'Yellow', 'Yellow', 'Yellow']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['Rr-Yy-Ss', 'rr-Yy-SS']","['Rr-YY-SS', 'Rr-YY-Ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-yy-SS', 'Rr-yy-Ss', 'rr-YY-SS', 'rr-YY-Ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-yy-SS', 'rr-yy-Ss']","['Orange', 'White']","['Orange', 'Orange', 'Pink', 'Orange', 'Pink', 'Pink', 'Yellow', 'Yellow (seed)', 'White', 'Yellow', 'White', 'White (seed)']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['Rr-Yy-Ss', 'rr-Yy-Ss']","['Rr-YY-SS', 'Rr-YY-Ss', 'Rr-YY-ss', 'Rr-Yy-SS', 'Rr-Yy-Ss', 'Rr-Yy-ss', 'Rr-yy-SS', 'Rr-yy-Ss', 'Rr-yy-ss', 'rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss', 'rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss', 'rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['Orange', 'Yellow']","['Orange', 'Orange', 'Orange', 'Pink', 'Orange', 'Orange', 'Pink', 'Pink', 'Pink', 'Yellow', 'Yellow (seed)', 'Yellow', 'White', 'Yellow', 'Yellow', 'White', 'White (seed)', 'White']","['5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%', '5%']"
