breading_pair,breading_results,breading_pair_color,breading_results_color,probability
"['RR-yy-ss', 'RR-yy-ss']",['RR-yy-ss'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-ss', 'rr-yy-Ss']",['Rr-yy-ss'],"['Red (seed)', 'White (seed)']",['Pink'],['100%']
"['rr-YY-Ss', 'rr-YY-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss']","['Yellow (seed)', 'Yellow (seed)']","['Yellow', 'Yellow (seed)', 'Yellow']","['33%', '33%', '33%']"
"['rr-YY-Ss', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss', 'rr-Yy-ss']","['Yellow (seed)', 'White (seed)']","['White', 'Yellow', 'Yellow']","['33%', '33%', '33%']"
"['rr-yy-Ss', 'rr-yy-Ss']","['rr-yy-SS', 'rr-yy-Ss', 'rr-yy-ss']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'White']","['33%', '33%', '33%']"
"['RR-yy-ss', 'RR-yy-ss']",['RR-yy-ss'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-ss', 'Rr-yy-ss']","['RR-yy-ss', 'Rr-yy-ss']","['Red (seed)', 'Pink']","['Red (seed)', 'Pink']","['50%', '50%']"
"['RR-yy-ss', 'rr-Yy-Ss']",['Rr-yy-ss'],"['Red (seed)', 'Yellow']",['Pink'],['100%']
"['RR-yy-ss', 'rr-Yy-ss']",['Rr-yy-ss'],"['Red (seed)', 'Yellow']",['Pink'],['100%']
"['RR-yy-ss', 'rr-yy-Ss']",['Rr-yy-ss'],"['Red (seed)', 'White (seed)']",['Pink'],['100%']
"['RR-yy-ss', 'rr-yy-ss']",['Rr-yy-ss'],"['Red (seed)', 'White']",['Pink'],['100%']
"['Rr-yy-ss', 'Rr-yy-ss']","['RR-yy-ss', 'Rr-yy-ss', 'rr-yy-ss']","['Pink', 'Pink']","['Red (seed)', 'Pink', 'White']","['33%', '33%', '33%']"
"['Rr-yy-ss', 'rr-Yy-Ss']","['Rr-yy-ss', 'rr-yy-ss']","['Pink', 'Yellow']","['Pink', 'White']","['50%', '50%']"
"['Rr-yy-ss', 'rr-Yy-ss']","['Rr-yy-ss', 'rr-yy-ss']","['Pink', 'Yellow']","['Pink', 'White']","['50%', '50%']"
"['Rr-yy-ss', 'rr-yy-Ss']","['Rr-yy-ss', 'rr-yy-ss']","['Pink', 'White (seed)']","['Pink', 'White']","['50%', '50%']"
"['Rr-yy-ss', 'rr-yy-ss']","['Rr-yy-ss', 'rr-yy-ss']","['Pink', 'White']","['Pink', 'White']","['50%', '50%']"
"['rr-YY-SS', 'rr-YY-SS']",['rr-YY-SS'],"['Yellow', 'Yellow']",['Yellow'],['100%']
"['rr-YY-SS', 'rr-YY-Ss']","['rr-YY-SS', 'rr-YY-Ss']","['Yellow', 'Yellow (seed)']","['Yellow', 'Yellow (seed)']","['50%', '50%']"
"['rr-YY-SS', 'rr-YY-ss']",['rr-YY-Ss'],"['Yellow', 'Yellow']",['Yellow (seed)'],['100%']
"['rr-YY-SS', 'rr-Yy-SS']","['rr-YY-SS', 'rr-Yy-SS']","['Yellow', 'White']","['Yellow', 'White']","['50%', '50%']"
"['rr-YY-SS', 'rr-Yy-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-Yy-SS', 'rr-Yy-Ss']","['Yellow', 'Yellow']","['Yellow', 'Yellow (seed)', 'White', 'Yellow']","['25%', '25%', '25%', '25%']"
"['rr-YY-SS', 'rr-Yy-ss']","['rr-YY-Ss', 'rr-Yy-Ss']","['Yellow', 'Yellow']","['Yellow (seed)', 'Yellow']","['50%', '50%']"
"['rr-YY-SS', 'rr-yy-SS']",['rr-Yy-SS'],"['Yellow', 'White']",['White'],['100%']
"['rr-YY-SS', 'rr-yy-Ss']","['rr-Yy-SS', 'rr-Yy-Ss']","['Yellow', 'White (seed)']","['White', 'Yellow']","['50%', '50%']"
"['rr-YY-SS', 'rr-yy-ss']",['rr-Yy-Ss'],"['Yellow', 'White']",['Yellow'],['100%']
"['rr-YY-Ss', 'rr-YY-Ss']","['rr-YY-SS', 'rr-YY-Ss', 'rr-YY-ss']","['Yellow (seed)', 'Yellow (seed)']","['Yellow', 'Yellow (seed)', 'Yellow']","['33%', '33%', '33%']"
"['rr-YY-Ss', 'rr-YY-ss']","['rr-YY-Ss', 'rr-YY-ss']","['Yellow (seed)', 'Yellow']","['Yellow (seed)', 'Yellow']","['50%', '50%']"
"['rr-YY-Ss', 'rr-Yy-SS']","['rr-YY-SS', 'rr-Yy-SS']","['Yellow (seed)', 'White']","['Yellow', 'White']","['50%', '50%']"
