breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-yy-Ww', 'RR-yy-Ww']","['RR-yy-WW', 'RR-yy-Ww', 'RR-yy-ww']","['Red (seed)', 'Red (seed)']","['Red', 'Red (seed)', 'Red']","['33%', '33%', '33%']"
"['RR-yy-Ww', 'rr-YY-WW']","['Rr-Yy-WW', 'Rr-Yy-Ww']","['Red (seed)', 'Yellow (seed)']","['Orange', 'Yellow']","['50%', '50%']"
"['RR-yy-Ww', 'rr-yy-Ww']","['Rr-yy-WW', 'Rr-yy-Ww', 'Rr-yy-ww']","['Red (seed)', 'White (seed)']","['Red', 'Pink', 'White']","['33%', '33%', '33%']"
"['rr-YY-WW', 'rr-YY-WW']",['rr-YY-WW'],"['Yellow (seed)', 'Yellow (seed)']",['Yellow (seed)'],['100%']
"['rr-YY-WW', 'rr-yy-Ww']","['rr-Yy-WW', 'rr-Yy-Ww']","['Yellow (seed)', 'White (seed)']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-yy-Ww', 'rr-yy-Ww']","['rr-yy-WW', 'rr-yy-Ww', 'rr-yy-ww']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'Blue']","['33%', '33%', '33%']"
"['RR-yy-WW', 'RR-yy-WW']",['RR-yy-WW'],"['Red', 'Red']",['Red'],['100%']
"['RR-yy-WW', 'RR-yy-Ww']","['RR-yy-WW', 'RR-yy-Ww']","['Red', 'Red (seed)']","['Red', 'Red (seed)']","['50%', '50%']"
"['RR-yy-WW', 'RR-yy-ww']",['RR-yy-Ww'],"['Red', 'Red']",['Red (seed)'],['100%']
"['RR-yy-WW', 'Rr-Yy-WW']","['RR-Yy-WW', 'RR-yy-WW', 'Rr-Yy-WW', 'Rr-yy-WW']","['Red', 'Orange']","['Blue', 'Red', 'Orange', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'Rr-Yy-Ww']","['RR-Yy-WW', 'RR-Yy-Ww', 'RR-yy-WW', 'RR-yy-Ww', 'Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red', 'Yellow']","['Blue', 'Red', 'Red', 'Red (seed)', 'Orange', 'Yellow', 'Red', 'Pink']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-WW', 'Rr-yy-WW']","['RR-yy-WW', 'Rr-yy-WW']","['Red', 'Red']","['Red', 'Red']","['50%', '50%']"
"['RR-yy-WW', 'Rr-yy-Ww']","['RR-yy-WW', 'RR-yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red', 'Pink']","['Red', 'Red (seed)', 'Red', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'Rr-yy-ww']","['RR-yy-Ww', 'Rr-yy-Ww']","['Red', 'White']","['Red (seed)', 'Pink']","['50%', '50%']"
"['RR-yy-WW', 'rr-YY-WW']",['Rr-Yy-WW'],"['Red', 'Yellow (seed)']",['Orange'],['100%']
"['RR-yy-WW', 'rr-Yy-WW']","['Rr-Yy-WW', 'Rr-yy-WW']","['Red', 'Yellow']","['Orange', 'Red']","['50%', '50%']"
"['RR-yy-WW', 'rr-Yy-Ww']","['Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red', 'Yellow']","['Orange', 'Yellow', 'Red', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'rr-yy-WW']",['Rr-yy-WW'],"['Red', 'White']",['Red'],['100%']
"['RR-yy-WW', 'rr-yy-Ww']","['Rr-yy-WW', 'Rr-yy-Ww']","['Red', 'White (seed)']","['Red', 'Pink']","['50%', '50%']"
"['RR-yy-WW', 'rr-yy-ww']",['Rr-yy-Ww'],"['Red', 'Blue']",['Pink'],['100%']
"['RR-yy-Ww', 'RR-yy-Ww']","['RR-yy-WW', 'RR-yy-Ww', 'RR-yy-ww']","['Red (seed)', 'Red (seed)']","['Red', 'Red (seed)', 'Red']","['33%', '33%', '33%']"
"['RR-yy-Ww', 'RR-yy-ww']","['RR-yy-Ww', 'RR-yy-ww']","['Red (seed)', 'Red']","['Red (seed)', 'Red']","['50%', '50%']"
"['RR-yy-Ww', 'Rr-Yy-WW']","['RR-Yy-WW', 'RR-Yy-Ww', 'RR-yy-WW', 'RR-yy-Ww', 'Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'Orange']","['Blue', 'Red', 'Red', 'Red (seed)', 'Orange', 'Yellow', 'Red', 'Pink']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-Ww', 'Rr-Yy-Ww']","['RR-Yy-WW', 'RR-Yy-Ww', 'RR-Yy-ww', 'RR-yy-WW', 'RR-yy-Ww', 'RR-yy-ww', 'Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-Yy-ww', 'Rr-yy-WW', 'Rr-yy-Ww', 'Rr-yy-ww']","['Red (seed)', 'Yellow']","['Blue', 'Red', 'Red', 'Red', 'Red (seed)', 'Red', 'Orange', 'Yellow', 'Yellow', 'Red', 'Pink', 'White']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['RR-yy-Ww', 'Rr-yy-WW']","['RR-yy-WW', 'RR-yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'Red']","['Red', 'Red (seed)', 'Red', 'Pink']","['25%', '25%', '25%', '25%']"
