breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-yy-WW', 'RR-yy-WW']",['RR-yy-WW'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-WW', 'rr-YY-WW']",['Rr-Yy-WW'],"['Red (seed)', 'Yellow (seed)']",['Orange'],['100%']
"['RR-yy-WW', 'rr-yy-Ww']","['Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'White (seed)']","['Red', 'Red']","['50%', '50%']"
"['rr-YY-WW', 'rr-YY-WW']",['rr-YY-WW'],"['Yellow (seed)', 'Yellow (seed)']",['Yellow (seed)'],['100%']
"['rr-YY-WW', 'rr-yy-Ww']","['rr-Yy-WW', 'rr-Yy-Ww']","['Yellow (seed)', 'White (seed)']","['Yellow', 'Yellow']","['50%', '50%']"
"['rr-yy-Ww', 'rr-yy-Ww']","['rr-yy-WW', 'rr-yy-Ww', 'rr-yy-ww']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'Blue']","['33%', '33%', '33%']"
"['RR-yy-WW', 'RR-yy-WW']",['RR-yy-WW'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-yy-WW', 'Rr-Yy-WW']","['RR-Yy-WW', 'RR-yy-WW', 'Rr-Yy-WW', 'Rr-yy-WW']","['Red (seed)', 'Orange']","['Red', 'Red (seed)', 'Orange', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'Rr-yy-WW']","['RR-yy-WW', 'Rr-yy-WW']","['Red (seed)', 'Red']","['Red (seed)', 'Red']","['50%', '50%']"
"['RR-yy-WW', 'Rr-yy-Ww']","['RR-yy-WW', 'RR-yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'Red']","['Red (seed)', 'Red', 'Red', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'rr-YY-WW']",['Rr-Yy-WW'],"['Red (seed)', 'Yellow (seed)']",['Orange'],['100%']
"['RR-yy-WW', 'rr-Yy-WW']","['Rr-Yy-WW', 'Rr-yy-WW']","['Red (seed)', 'Yellow']","['Orange', 'Red']","['50%', '50%']"
"['RR-yy-WW', 'rr-Yy-Ww']","['Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'Yellow']","['Orange', 'Orange', 'Red', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW', 'rr-yy-WW']",['Rr-yy-WW'],"['Red (seed)', 'White']",['Red'],['100%']
"['RR-yy-WW', 'rr-yy-Ww']","['Rr-yy-WW', 'Rr-yy-Ww']","['Red (seed)', 'White (seed)']","['Red', 'Red']","['50%', '50%']"
"['RR-yy-WW', 'rr-yy-ww']",['Rr-yy-Ww'],"['Red (seed)', 'Blue']",['Red'],['100%']
"['Rr-Yy-WW', 'Rr-Yy-WW']","['RR-YY-WW', 'RR-Yy-WW', 'RR-yy-WW', 'Rr-YY-WW', 'Rr-Yy-WW', 'Rr-yy-WW', 'rr-YY-WW', 'rr-Yy-WW', 'rr-yy-WW']","['Orange', 'Orange']","['Orange', 'Red', 'Red (seed)', 'Yellow', 'Orange', 'Red', 'Yellow (seed)', 'Yellow', 'White']","['11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%']"
"['Rr-Yy-WW', 'Rr-yy-WW']","['RR-Yy-WW', 'RR-yy-WW', 'Rr-Yy-WW', 'Rr-yy-WW', 'rr-Yy-WW', 'rr-yy-WW']","['Orange', 'Red']","['Red', 'Red (seed)', 'Orange', 'Red', 'Yellow', 'White']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['Rr-Yy-WW', 'Rr-yy-Ww']","['RR-Yy-WW', 'RR-Yy-Ww', 'RR-yy-WW', 'RR-yy-Ww', 'Rr-Yy-WW', 'Rr-Yy-Ww', 'Rr-yy-WW', 'Rr-yy-Ww', 'rr-Yy-WW', 'rr-Yy-Ww', 'rr-yy-WW', 'rr-yy-Ww']","['Orange', 'Red']","['Red', 'Red', 'Red (seed)', 'Red', 'Orange', 'Orange', 'Red', 'Red', 'Yellow', 'Yellow', 'White', 'White (seed)']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['Rr-Yy-WW', 'rr-YY-WW']","['Rr-YY-WW', 'Rr-Yy-WW', 'rr-YY-WW', 'rr-Yy-WW']","['Orange', 'Yellow (seed)']","['Yellow', 'Orange', 'Yellow (seed)', 'Yellow']","['25%', '25%', '25%', '25%']"
