breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-yy-WW-Ss', 'RR-yy-WW-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'RR-yy-WW-ss']","['Red (seed)', 'Red (seed)']","['Pink', 'Red (seed)', 'Black']","['33%', '33%', '33%']"
"['RR-yy-WW-Ss', 'rr-yy-Ww-ss']","['Rr-yy-WW-Ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'White (seed)']","['Pink', 'Red', 'Pink', 'Red']","['25%', '25%', '25%', '25%']"
"['rr-YY-WW-ss', 'rr-YY-WW-ss']",['rr-YY-WW-ss'],"['Yellow (seed)', 'Yellow (seed)']",['Yellow (seed)'],['100%']
"['rr-YY-WW-ss', 'rr-yy-Ww-ss']","['rr-Yy-WW-ss', 'rr-Yy-Ww-ss']","['Yellow (seed)', 'White (seed)']","['Yellow', 'White']","['50%', '50%']"
"['rr-yy-Ww-ss', 'rr-yy-Ww-ss']","['rr-yy-WW-ss', 'rr-yy-Ww-ss', 'rr-yy-ww-ss']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'Purple']","['33%', '33%', '33%']"
"['RR-yy-WW-SS', 'RR-yy-WW-SS']",['RR-yy-WW-SS'],"['Pink', 'Pink']",['Pink'],['100%']
"['RR-yy-WW-SS', 'RR-yy-WW-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss']","['Pink', 'Red (seed)']","['Pink', 'Red (seed)']","['50%', '50%']"
"['RR-yy-WW-SS', 'RR-yy-WW-ss']",['RR-yy-WW-Ss'],"['Pink', 'Black']",['Red (seed)'],['100%']
"['RR-yy-WW-SS', 'Rr-yy-WW-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'Rr-yy-WW-SS', 'Rr-yy-WW-Ss']","['Pink', 'Pink']","['Pink', 'Red (seed)', 'White', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-SS', 'Rr-yy-WW-ss']","['RR-yy-WW-Ss', 'Rr-yy-WW-Ss']","['Pink', 'Red']","['Red (seed)', 'Pink']","['50%', '50%']"
"['RR-yy-WW-SS', 'Rr-yy-Ww-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'RR-yy-Ww-SS', 'RR-yy-Ww-Ss', 'Rr-yy-WW-SS', 'Rr-yy-WW-Ss', 'Rr-yy-Ww-SS', 'Rr-yy-Ww-Ss']","['Pink', 'Pink']","['Pink', 'Red (seed)', 'Pink', 'Red', 'White', 'Pink', 'White', 'Pink']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-WW-SS', 'Rr-yy-Ww-ss']","['RR-yy-WW-Ss', 'RR-yy-Ww-Ss', 'Rr-yy-WW-Ss', 'Rr-yy-Ww-Ss']","['Pink', 'Red']","['Red (seed)', 'Red', 'Pink', 'Pink']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-SS', 'rr-Yy-WW-ss']",['Rr-yy-WW-Ss'],"['Pink', 'Yellow']",['Pink'],['100%']
"['RR-yy-WW-SS', 'rr-Yy-Ww-ss']","['Rr-yy-WW-Ss', 'Rr-yy-Ww-Ss']","['Pink', 'White']","['Pink', 'Pink']","['50%', '50%']"
"['RR-yy-WW-SS', 'rr-yy-WW-ss']",['Rr-yy-WW-Ss'],"['Pink', 'White']",['Pink'],['100%']
"['RR-yy-WW-SS', 'rr-yy-Ww-ss']","['Rr-yy-WW-Ss', 'Rr-yy-Ww-Ss']","['Pink', 'White (seed)']","['Pink', 'Pink']","['50%', '50%']"
"['RR-yy-WW-SS', 'rr-yy-ww-ss']",['Rr-yy-Ww-Ss'],"['Pink', 'Purple']",['Pink'],['100%']
"['RR-yy-WW-Ss', 'RR-yy-WW-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'RR-yy-WW-ss']","['Red (seed)', 'Red (seed)']","['Pink', 'Red (seed)', 'Black']","['33%', '33%', '33%']"
"['RR-yy-WW-Ss', 'RR-yy-WW-ss']","['RR-yy-WW-Ss', 'RR-yy-WW-ss']","['Red (seed)', 'Black']","['Red (seed)', 'Black']","['50%', '50%']"
"['RR-yy-WW-Ss', 'Rr-yy-WW-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'RR-yy-WW-ss', 'Rr-yy-WW-SS', 'Rr-yy-WW-Ss', 'Rr-yy-WW-ss']","['Red (seed)', 'Pink']","['Pink', 'Red (seed)', 'Black', 'White', 'Pink', 'Red']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['RR-yy-WW-Ss', 'Rr-yy-WW-ss']","['RR-yy-WW-Ss', 'RR-yy-WW-ss', 'Rr-yy-WW-Ss', 'Rr-yy-WW-ss']","['Red (seed)', 'Red']","['Red (seed)', 'Black', 'Pink', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-Ss', 'Rr-yy-Ww-Ss']","['RR-yy-WW-SS', 'RR-yy-WW-Ss', 'RR-yy-WW-ss', 'RR-yy-Ww-SS', 'RR-yy-Ww-Ss', 'RR-yy-Ww-ss', 'Rr-yy-WW-SS', 'Rr-yy-WW-Ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-SS', 'Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'Pink']","['Pink', 'Red (seed)', 'Black', 'Pink', 'Red', 'Black', 'White', 'Pink', 'Red', 'White', 'Pink', 'Red']","['8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%', '8%']"
"['RR-yy-WW-Ss', 'Rr-yy-Ww-ss']","['RR-yy-WW-Ss', 'RR-yy-WW-ss', 'RR-yy-Ww-Ss', 'RR-yy-Ww-ss', 'Rr-yy-WW-Ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'Red']","['Red (seed)', 'Black', 'Red', 'Black', 'Pink', 'Red', 'Pink', 'Red']","['12%', '12%', '12%', '12%', '12%', '12%', '12%', '12%']"
"['RR-yy-WW-Ss', 'rr-Yy-WW-ss']","['Rr-yy-WW-Ss', 'Rr-yy-WW-ss']","['Red (seed)', 'Yellow']","['Pink', 'Red']","['50%', '50%']"
"['RR-yy-WW-Ss', 'rr-Yy-Ww-ss']","['Rr-yy-WW-Ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'White']","['Pink', 'Red', 'Pink', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-Ss', 'rr-yy-WW-ss']","['Rr-yy-WW-Ss', 'Rr-yy-WW-ss']","['Red (seed)', 'White']","['Pink', 'Red']","['50%', '50%']"
"['RR-yy-WW-Ss', 'rr-yy-Ww-ss']","['Rr-yy-WW-Ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'White (seed)']","['Pink', 'Red', 'Pink', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-Ss', 'rr-yy-ww-ss']","['Rr-yy-Ww-Ss', 'Rr-yy-Ww-ss']","['Red (seed)', 'Purple']","['Pink', 'Red']","['50%', '50%']"
"['RR-yy-WW-ss', 'RR-yy-WW-ss']",['RR-yy-WW-ss'],"['Black', 'Black']",['Black'],['100%']
"['RR-yy-WW-ss', 'Rr-yy-WW-Ss']","['RR-yy-WW-ss', 'Rr-yy-WW-ss']","['Black', 'Pink']","['Black', 'Red']","['50%', '50%']"
"['RR-yy-WW-ss', 'Rr-yy-WW-ss']","['RR-yy-WW-ss', 'Rr-yy-WW-ss']","['Black', 'Red']","['Black', 'Red']","['50%', '50%']"
"['RR-yy-WW-ss', 'Rr-yy-Ww-Ss']","['RR-yy-WW-ss', 'RR-yy-Ww-ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-ss']","['Black', 'Pink']","['Black', 'Black', 'Red', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-ss', 'Rr-yy-Ww-ss']","['RR-yy-WW-ss', 'RR-yy-Ww-ss', 'Rr-yy-WW-ss', 'Rr-yy-Ww-ss']","['Black', 'Red']","['Black', 'Black', 'Red', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-yy-WW-ss', 'rr-Yy-WW-ss']",['Rr-yy-WW-ss'],"['Black', 'Yellow']",['Red'],['100%']
"['RR-yy-WW-ss', 'rr-Yy-Ww-ss']","['Rr-yy-WW-ss', 'Rr-yy-Ww-ss']","['Black', 'White']","['Red', 'Red']","['50%', '50%']"
