breeding_pair,breeding_results,breeding_pair_color,breeding_results_color,probability
"['RR-oo-WW', 'RR-oo-WW']",['RR-oo-WW'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-oo-WW', 'rr-oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww']","['Red (seed)', 'White (seed)']","['Red', 'Red']","['50%', '50%']"
"['rr-OO-WW', 'rr-OO-WW']",['rr-OO-WW'],"['Orange (seed)', 'Orange (seed)']",['Orange (seed)'],['100%']
"['rr-OO-WW', 'rr-oo-Ww']","['rr-Oo-WW', 'rr-Oo-Ww']","['Orange (seed)', 'White (seed)']","['Orange', 'Orange']","['50%', '50%']"
"['rr-oo-Ww', 'rr-oo-Ww']","['rr-oo-WW', 'rr-oo-Ww', 'rr-oo-ww']","['White (seed)', 'White (seed)']","['White', 'White (seed)', 'Blue']","['33%', '33%', '33%']"
"['RR-oo-WW', 'RR-oo-WW']",['RR-oo-WW'],"['Red (seed)', 'Red (seed)']",['Red (seed)'],['100%']
"['RR-oo-WW', 'Rr-oo-WW']","['RR-oo-WW', 'Rr-oo-WW']","['Red (seed)', 'Red']","['Red (seed)', 'Red']","['50%', '50%']"
"['RR-oo-WW', 'Rr-oo-Ww']","['RR-oo-WW', 'RR-oo-Ww', 'Rr-oo-WW', 'Rr-oo-Ww']","['Red (seed)', 'Red']","['Red (seed)', 'Red', 'Red', 'Red']","['25%', '25%', '25%', '25%']"
"['RR-oo-WW', 'rr-Oo-WW']",['Rr-oo-WW'],"['Red (seed)', 'Orange']",['Red'],['100%']
"['RR-oo-WW', 'rr-Oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww']","['Red (seed)', 'Orange']","['Red', 'Red']","['50%', '50%']"
"['RR-oo-WW', 'rr-oo-WW']",['Rr-oo-WW'],"['Red (seed)', 'White']",['Red'],['100%']
"['RR-oo-WW', 'rr-oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww']","['Red (seed)', 'White (seed)']","['Red', 'Red']","['50%', '50%']"
"['RR-oo-WW', 'rr-oo-ww']",['Rr-oo-Ww'],"['Red (seed)', 'Blue']",['Red'],['100%']
"['Rr-oo-WW', 'Rr-oo-WW']","['RR-oo-WW', 'Rr-oo-WW', 'rr-oo-WW']","['Red', 'Red']","['Red (seed)', 'Red', 'White']","['33%', '33%', '33%']"
"['Rr-oo-WW', 'Rr-oo-Ww']","['RR-oo-WW', 'RR-oo-Ww', 'Rr-oo-WW', 'Rr-oo-Ww', 'rr-oo-WW', 'rr-oo-Ww']","['Red', 'Red']","['Red (seed)', 'Red', 'Red', 'Red', 'White', 'White (seed)']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['Rr-oo-WW', 'rr-Oo-WW']","['Rr-oo-WW', 'rr-oo-WW']","['Red', 'Orange']","['Red', 'White']","['50%', '50%']"
"['Rr-oo-WW', 'rr-Oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww', 'rr-oo-WW', 'rr-oo-Ww']","['Red', 'Orange']","['Red', 'Red', 'White', 'White (seed)']","['25%', '25%', '25%', '25%']"
"['Rr-oo-WW', 'rr-oo-WW']","['Rr-oo-WW', 'rr-oo-WW']","['Red', 'White']","['Red', 'White']","['50%', '50%']"
"['Rr-oo-WW', 'rr-oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww', 'rr-oo-WW', 'rr-oo-Ww']","['Red', 'White (seed)']","['Red', 'Red', 'White', 'White (seed)']","['25%', '25%', '25%', '25%']"
"['Rr-oo-WW', 'rr-oo-ww']","['Rr-oo-Ww', 'rr-oo-Ww']","['Red', 'Blue']","['Red', 'White (seed)']","['50%', '50%']"
"['Rr-oo-Ww', 'Rr-oo-Ww']","['RR-oo-WW', 'RR-oo-Ww', 'RR-oo-ww', 'Rr-oo-WW', 'Rr-oo-Ww', 'Rr-oo-ww', 'rr-oo-WW', 'rr-oo-Ww', 'rr-oo-ww']","['Red', 'Red']","['Red (seed)', 'Red', 'Purple', 'Red', 'Red', 'Blue', 'White', 'White (seed)', 'Blue']","['11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%', '11%']"
"['Rr-oo-Ww', 'rr-Oo-WW']","['Rr-oo-WW', 'rr-oo-WW']","['Red', 'Orange']","['Red', 'White']","['50%', '50%']"
"['Rr-oo-Ww', 'rr-Oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww', 'Rr-oo-ww', 'rr-oo-WW', 'rr-oo-Ww', 'rr-oo-ww']","['Red', 'Orange']","['Red', 'Red', 'Blue', 'White', 'White (seed)', 'Blue']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['Rr-oo-Ww', 'rr-oo-WW']","['Rr-oo-WW', 'rr-oo-WW']","['Red', 'White']","['Red', 'White']","['50%', '50%']"
"['Rr-oo-Ww', 'rr-oo-Ww']","['Rr-oo-WW', 'Rr-oo-Ww', 'Rr-oo-ww', 'rr-oo-WW', 'rr-oo-Ww', 'rr-oo-ww']","['Red', 'White (seed)']","['Red', 'Red', 'Blue', 'White', 'White (seed)', 'Blue']","['16%', '16%', '16%', '16%', '16%', '16%']"
"['Rr-oo-Ww', 'rr-oo-ww']","['Rr-oo-Ww', 'Rr-oo-ww', 'rr-oo-Ww', 'rr-oo-ww']","['Red', 'Blue']","['Red', 'Blue', 'White (seed)', 'Blue']","['25%', '25%', '25%', '25%']"
"['rr-OO-WW', 'rr-OO-WW']",['rr-OO-WW'],"['Orange (seed)', 'Orange (seed)']",['Orange (seed)'],['100%']
"['rr-OO-WW', 'rr-Oo-WW']","['rr-OO-WW', 'rr-Oo-WW']","['Orange (seed)', 'Orange']","['Orange (seed)', 'Orange']","['50%', '50%']"
